,binned_BALANCE,binned_PURCHASES,binned_ONEOFF_PURCHASES,binned_INSTALLMENTS_PURCHASES,binned_CASH_ADVANCE,binned_CASH_ADVANCE_TRX,binned_PURCHASES_TRX,binned_CREDIT_LIMIT,binned_PAYMENTS,binned_MINIMUM_PAYMENTS,binned_BALANCE_FREQUENCY,binned_PURCHASES_FREQUENCY,binned_ONEOFF_PURCHASES_FREQUENCY,binned_PURCHASES_INSTALLMENTS_FREQUENCY,binned_CASH_ADVANCE_FREQUENCY,binned_PRC_FULL_PAYMENT,binned_TENURE
21,5.0,4.0,4.0,3.0,3.0,2.0,4.0,6.0,4.0,7.0,5.0,5.0,5.0,5.0,1.0,0.0,7.0
22,2.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,5.0,0.0,5.0,0.0,0.0,7.0
23,5.0,4.0,4.0,3.0,5.0,3.0,2.0,6.0,5.0,7.0,4.0,5.0,0.0,5.0,1.0,0.0,7.0
24,5.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0
25,3.0,3.0,0.0,3.0,0.0,0.0,2.0,5.0,2.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
26,4.0,2.0,2.0,0.0,3.0,2.0,1.0,4.0,3.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,7.0
27,2.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
28,5.0,3.0,3.0,3.0,4.0,3.0,2.0,6.0,4.0,7.0,5.0,4.0,1.0,2.0,3.0,0.0,7.0
29,1.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,5.0,2.0,0.0,2.0,0.0,0.0,7.0
30,5.0,4.0,3.0,4.0,4.0,2.0,4.0,6.0,4.0,7.0,5.0,5.0,1.0,5.0,2.0,0.0,7.0
31,4.0,4.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
32,5.0,3.0,3.0,0.0,3.0,1.0,1.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
33,2.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,7.0
34,4.0,3.0,0.0,3.0,0.0,0.0,2.0,6.0,5.0,9.0,4.0,5.0,0.0,5.0,0.0,0.0,7.0
35,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
36,5.0,0.0,0.0,0.0,5.0,3.0,0.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,6.0
37,5.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,7.0,5.0,4.0,3.0,4.0,1.0,0.0,7.0
38,5.0,2.0,3.0,0.0,4.0,3.0,1.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
39,4.0,3.0,3.0,0.0,4.0,2.0,1.0,6.0,5.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0
40,3.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0
41,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0,7.0
42,5.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
43,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
44,5.0,4.0,3.0,4.0,0.0,0.0,3.0,6.0,4.0,7.0,5.0,5.0,1.0,5.0,0.0,0.0,7.0
45,4.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,7.0
46,3.0,2.0,0.0,2.0,3.0,0.0,1.0,4.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0
47,5.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
48,3.0,4.0,4.0,4.0,0.0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,7.0
49,4.0,3.0,3.0,0.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
50,5.0,3.0,3.0,3.0,5.0,4.0,2.0,6.0,4.0,6.0,5.0,3.0,2.0,1.0,3.0,0.0,2.0
51,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,7.0,5.0,4.0,3.0,3.0,0.0,0.0,7.0
52,4.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
53,3.0,4.0,4.0,0.0,4.0,0.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,1.0,4.0
54,1.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,7.0
55,4.0,3.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
56,4.0,3.0,3.0,0.0,3.0,2.0,1.0,5.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,7.0
57,4.0,4.0,4.0,3.0,0.0,0.0,3.0,6.0,4.0,7.0,5.0,5.0,5.0,3.0,0.0,0.0,7.0
58,5.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0
59,5.0,3.0,0.0,3.0,3.0,2.0,1.0,5.0,4.0,7.0,5.0,2.0,0.0,1.0,1.0,0.0,7.0
60,4.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0
61,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
62,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,6.0
63,1.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
64,4.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,7.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
65,4.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,3.0,6.0,5.0,3.0,1.0,1.0,0.0,0.0,7.0
66,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
67,4.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
68,5.0,3.0,2.0,2.0,0.0,0.0,2.0,5.0,4.0,6.0,5.0,4.0,0.0,3.0,0.0,0.0,7.0
69,4.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
70,5.0,3.0,0.0,3.0,3.0,2.0,2.0,6.0,3.0,7.0,5.0,5.0,0.0,4.0,1.0,0.0,7.0
71,4.0,4.0,4.0,4.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,7.0
72,3.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0
73,4.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,6.0,5.0,3.0,0.0,2.0,0.0,0.0,5.0
74,3.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,6.0
75,5.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,4.0,7.0,5.0,4.0,1.0,4.0,0.0,0.0,7.0
76,4.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,4.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0
77,3.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,4.0,5.0,5.0,4.0,0.0,4.0,0.0,0.0,7.0
78,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
79,5.0,3.0,3.0,0.0,4.0,2.0,2.0,6.0,4.0,7.0,5.0,3.0,3.0,0.0,1.0,0.0,7.0
80,1.0,3.0,2.0,3.0,0.0,0.0,2.0,5.0,3.0,4.0,5.0,4.0,1.0,3.0,0.0,1.0,7.0
81,2.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
82,0.0,2.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,7.0
83,2.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,2.0,0.0,5.0,7.0
84,4.0,4.0,4.0,3.0,3.0,0.0,4.0,6.0,4.0,6.0,5.0,5.0,5.0,1.0,0.0,0.0,7.0
85,2.0,3.0,4.0,0.0,0.0,0.0,3.0,7.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,7.0
86,5.0,4.0,4.0,3.0,4.0,3.0,3.0,6.0,4.0,7.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0
87,5.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,7.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0
88,5.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
89,5.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
90,5.0,4.0,3.0,4.0,3.0,0.0,3.0,6.0,4.0,8.0,5.0,5.0,1.0,5.0,0.0,0.0,7.0
91,4.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,6.0,5.0,5.0,0.0,4.0,2.0,0.0,6.0
92,4.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
93,4.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
94,4.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
95,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
96,4.0,3.0,3.0,0.0,0.0,0.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,7.0
97,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
98,1.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,5.0,7.0
99,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
101,1.0,4.0,0.0,4.0,0.0,0.0,2.0,4.0,3.0,3.0,1.0,5.0,0.0,5.0,0.0,0.0,7.0
102,4.0,4.0,4.0,4.0,0.0,0.0,4.0,5.0,5.0,7.0,5.0,5.0,5.0,4.0,0.0,0.0,7.0
103,0.0,3.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,7.0
104,4.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
105,4.0,3.0,3.0,0.0,3.0,2.0,1.0,5.0,3.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,7.0
106,3.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
107,5.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
108,4.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,6.0,5.0,4.0,1.0,3.0,0.0,0.0,7.0
109,5.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0,2.0,0.0,7.0
110,3.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,4.0,0.0,0.0,7.0
111,4.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
112,5.0,4.0,3.0,4.0,4.0,2.0,4.0,6.0,4.0,7.0,5.0,5.0,1.0,5.0,1.0,0.0,7.0
113,5.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
114,3.0,4.0,4.0,3.0,0.0,0.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,0.0,5.0,7.0
115,3.0,3.0,3.0,3.0,0.0,0.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,0.0,0.0,7.0
116,3.0,4.0,0.0,4.0,0.0,0.0,2.0,6.0,3.0,4.0,3.0,3.0,0.0,3.0,0.0,1.0,7.0
117,4.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
118,2.0,3.0,0.0,3.0,0.0,0.0,1.0,6.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,7.0
119,4.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
120,5.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,7.0,5.0,5.0,5.0,5.0,2.0,0.0,7.0
121,4.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
122,4.0,4.0,0.0,5.0,0.0,0.0,4.0,6.0,4.0,6.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
123,4.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
124,5.0,0.0,0.0,0.0,4.0,2.0,0.0,7.0,4.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
125,4.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0
126,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0
127,5.0,4.0,3.0,4.0,0.0,0.0,3.0,5.0,3.0,6.0,5.0,4.0,1.0,3.0,0.0,0.0,7.0
128,5.0,2.0,2.0,0.0,5.0,3.0,0.0,7.0,4.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
129,2.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
130,2.0,3.0,3.0,0.0,3.0,0.0,2.0,5.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
131,5.0,3.0,3.0,4.0,0.0,0.0,3.0,5.0,4.0,7.0,5.0,4.0,1.0,4.0,0.0,0.0,7.0
132,1.0,3.0,0.0,3.0,0.0,0.0,2.0,5.0,3.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,7.0
133,5.0,3.0,3.0,0.0,5.0,3.0,0.0,6.0,5.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
134,3.0,3.0,0.0,3.0,0.0,0.0,3.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
135,4.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,6.0,5.0,3.0,1.0,1.0,0.0,0.0,7.0
136,4.0,4.0,4.0,4.0,0.0,0.0,4.0,7.0,3.0,6.0,5.0,5.0,3.0,5.0,0.0,0.0,7.0
137,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,0.0,7.0
138,5.0,5.0,5.0,5.0,0.0,0.0,5.0,7.0,5.0,9.0,5.0,5.0,4.0,5.0,0.0,0.0,7.0
139,4.0,3.0,3.0,0.0,3.0,0.0,2.0,4.0,3.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,7.0
140,4.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0
141,4.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0
142,5.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
143,5.0,4.0,4.0,3.0,0.0,0.0,2.0,7.0,4.0,7.0,5.0,4.0,2.0,3.0,0.0,0.0,7.0
144,4.0,4.0,4.0,4.0,0.0,0.0,4.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,7.0
145,4.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
146,1.0,3.0,0.0,3.0,0.0,0.0,2.0,6.0,3.0,5.0,5.0,4.0,0.0,4.0,0.0,0.0,7.0
147,3.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
148,4.0,3.0,2.0,3.0,0.0,0.0,2.0,4.0,4.0,6.0,5.0,3.0,1.0,2.0,0.0,0.0,7.0
149,4.0,3.0,2.0,4.0,2.0,0.0,2.0,6.0,4.0,6.0,5.0,4.0,0.0,4.0,0.0,0.0,7.0
150,5.0,4.0,0.0,4.0,3.0,2.0,2.0,6.0,4.0,9.0,5.0,3.0,0.0,3.0,0.0,0.0,7.0
151,4.0,4.0,4.0,3.0,0.0,0.0,3.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,7.0
152,2.0,3.0,0.0,4.0,0.0,0.0,3.0,6.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,7.0
153,5.0,5.0,4.0,5.0,4.0,4.0,5.0,7.0,5.0,8.0,5.0,5.0,4.0,5.0,3.0,0.0,7.0
154,2.0,4.0,3.0,4.0,0.0,0.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,0.0,3.0,7.0
155,2.0,4.0,0.0,4.0,0.0,0.0,1.0,7.0,4.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,7.0
156,5.0,4.0,4.0,3.0,4.0,3.0,3.0,6.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,0.0,7.0
157,4.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
158,4.0,4.0,4.0,4.0,0.0,0.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,0.0,1.0,7.0
159,4.0,3.0,3.0,0.0,2.0,0.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
160,4.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0
161,5.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
162,4.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
163,4.0,3.0,3.0,2.0,0.0,0.0,1.0,5.0,3.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,7.0
164,2.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,5.0,0.0,4.0,0.0,3.0,0.0
165,5.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
166,4.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,5.0,0.0,5.0,0.0,0.0,7.0
167,3.0,4.0,4.0,3.0,4.0,0.0,3.0,7.0,4.0,5.0,5.0,5.0,4.0,4.0,0.0,5.0,7.0
168,4.0,3.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,7.0,5.0,5.0,0.0,5.0,0.0,0.0,7.0
169,3.0,4.0,4.0,3.0,0.0,0.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,7.0
170,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
171,4.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,7.0
172,1.0,3.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,7.0
173,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0
174,5.0,4.0,4.0,4.0,4.0,1.0,4.0,7.0,4.0,7.0,5.0,5.0,5.0,5.0,0.0,0.0,7.0
175,4.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
176,4.0,3.0,3.0,0.0,3.0,2.0,2.0,4.0,0.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,7.0
177,4.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,4.0,7.0,5.0,0.0,0.0,0.0,2.0,0.0,7.0
178,3.0,4.0,4.0,4.0,0.0,0.0,3.0,7.0,4.0,5.0,5.0,5.0,2.0,5.0,0.0,5.0,7.0
179,2.0,3.0,0.0,3.0,0.0,0.0,1.0,5.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,1.0,7.0
180,4.0,4.0,2.0,4.0,0.0,0.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,7.0
181,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
182,4.0,2.0,0.0,2.0,5.0,4.0,1.0,5.0,5.0,6.0,5.0,1.0,0.0,1.0,3.0,1.0,7.0
183,1.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
184,2.0,3.0,3.0,3.0,0.0,0.0,2.0,6.0,3.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0,7.0
185,3.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0,0.0,7.0
186,4.0,2.0,0.0,2.0,4.0,2.0,1.0,5.0,3.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,7.0
187,4.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,6.0,5.0,5.0,1.0,5.0,0.0,0.0,7.0
188,4.0,3.0,3.0,0.0,3.0,0.0,1.0,4.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,7.0
189,4.0,3.0,3.0,0.0,3.0,0.0,2.0,4.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0
190,2.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,7.0
